id,name,parent,parent_id,direct_students,total_descendants
20.23.7.8,Wageesha Bangamuarachchi,Jason Wiese,20.23.7,0,0
20.23.7.9,Jens Phanich,Jason Wiese,20.23.7,0,0
20.23.8,Sauvik Das,Jason Hong,20.23,7,7
20.23.8.1,Youngwook Do,Sauvik Das,20.23.8,0,0
20.23.8.2,Yuxi Wu,Sauvik Das,20.23.8,0,0
20.23.8.3,P. Jacob Logas,Sauvik Das,20.23.8,0,0
20.23.8.4,Hao-Ping (Hank) Lee,Sauvik Das,20.23.8,0,0
20.23.8.5,Isadora Krsek,Sauvik Das,20.23.8,0,0
20.23.8.6,Kyzyl Monteiro,Sauvik Das,20.23.8,0,0
20.23.8.7,Yuxuan Li,Sauvik Das,20.23.8,0,0
20.23.9,Dan Tasse,Jason Hong,20.23,0,0
20.23.10,Siyan Zhao,Jason Hong,20.23,0,0
20.23.11,Haojian Jin,Jason Hong,20.23,3,3
20.23.11.1,Qiyu Li,Haojian Jin,20.23.11,0,0
20.23.11.2,Shao-yu Chu,Haojian Jin,20.23.11,0,0
20.23.11.3,Xuan Liu,Haojian Jin,20.23.11,0,0
20.23.12,Tianshi Li,Jason Hong,20.23,3,3
20.23.12.1,Zhiping Zhang,Tianshi Li,20.23.12,0,0
20.23.12.2,Ziwen Li,Tianshi Li,20.23.12,0,0
20.23.12.3,Jianing Wen,Tianshi Li,20.23.12,0,0
20.23.13,Cori Faklaris,Jason Hong,20.23,4,4
20.23.13.1,Sarah Tabassum,Cori Faklaris,20.23.13,0,0
20.23.13.2,Narges Zare,Cori Faklaris,20.23.13,0,0
20.23.13.3,Prakruthi Reddy,Cori Faklaris,20.23.13,0,0
20.23.13.4,Farida Eleshin,Cori Faklaris,20.23.13,0,0
20.23.14,Angel (Alex) Cabrera,Jason Hong,20.23,0,0
20.24,Scott Klemmer,James Landay,20,13,57
20.24.1,Ron Yeh,Scott Klemmer,20.24,0,0
20.24.2,Brian Lee,Scott Klemmer,20.24,0,0
20.24.3,Bjoern Hartmann,Scott Klemmer,20.24,17,36
20.24.3.1,Peitong Duan,Bjoern Hartmann,20.24.3,0,0
20.24.3.2,Shm Garanganao Almeda,Bjoern Hartmann,20.24.3,0,0
20.24.3.3,J.D. Zamfirescu-Pereira,Bjoern Hartmann,20.24.3,0,0
20.24.3.4,James Smith,Bjoern Hartmann,20.24.3,0,0
20.24.3.5,Richard Lin,Bjoern Hartmann,20.24.3,0,0
20.24.3.6,Bala Kumaravel,Bjoern Hartmann,20.24.3,0,0
20.24.3.7,Jeremy Warner,Bjoern Hartmann,20.24.3,0,0
20.24.3.8,Eldon Schoop,Bjoern Hartmann,20.24.3,0,0
20.24.3.9,Andrew Head,Bjoern Hartmann,20.24.3,6,6
20.24.3.9.1,Alyssa Hwang,Andrew Head,20.24.3.9,0,0
20.24.3.9.2,Hita Kambhamettu,Andrew Head,20.24.3.9,0,0
20.24.3.9.3,Litao Yan,Andrew Head,20.24.3.9,0,0
20.24.3.9.4,Jeff Tao,Andrew Head,20.24.3.9,0,0
20.24.3.9.5,Jessica Shi,Andrew Head,20.24.3.9,0,0
20.24.3.9.6,Xiaorui Liu,Andrew Head,20.24.3.9,0,0
20.24.3.10,Will McGrath,Bjoern Hartmann,20.24.3,0,0
20.24.3.11,Amy Pavel,Bjoern Hartmann,20.24.3,4,4
20.24.3.11.1,Mina Huh,Amy Pavel,20.24.3.11,0,0
20.24.3.11.2,Karim Benharrak,Amy Pavel,20.24.3.11,0,0
20.24.3.11.3,Ananya Gubbi Mohanbabu,Amy Pavel,20.24.3.11,0,0
20.24.3.11.4,Meng Chen,Amy Pavel,20.24.3.11,0,0
20.24.3.12,Peggy Chi,Bjoern Hartmann,20.24.3,0,0
20.24.3.13,Valkyrie Savage,Bjoern Hartmann,20.24.3,1,1
20.24.3.13.1,Atul Chaudhary,Valkyrie Savage,20.24.3.13,0,0
20.24.3.14,Kenrick Kin,Bjoern Hartmann,20.24.3,0,0
20.24.3.15,Lora Oehlberg,Bjoern Hartmann,20.24.3,7,8
20.24.3.15.1,David Ledo,Lora Oehlberg,20.24.3.15,0,0
20.24.3.15.2,Peyman Pootschi,Lora Oehlberg,20.24.3.15,0,0
20.24.3.15.3,Fateme Rajabiyazdi,Lora Oehlberg,20.24.3.15,1,1
20.24.3.15.3.1,Shri Harini Ramesh,Fateme Rajabiyazdi,20.24.3.15.3,0,0
20.24.3.15.4,Kathryn Blair,Lora Oehlberg,20.24.3.15,0,0
20.24.3.15.5,Sydney Pratte,Lora Oehlberg,20.24.3.15,0,0
20.24.3.15.6,Terrance Mok,Lora Oehlberg,20.24.3.15,0,0
20.24.3.15.7,Tania Villialobos Lujan,Lora Oehlberg,20.24.3.15,0,0
20.24.3.16,Timothy J. Aveni,Bjoern Hartmann,20.24.3,0,0
20.24.3.17,Samia Menon,Bjoern Hartmann,20.24.3,0,0
20.24.4,Joel Brandt,Scott Klemmer,20.24,0,0
20.24.5,Neil Patel,Scott Klemmer,20.24,0,0
20.24.6,Nicolas Kokkalis,Scott Klemmer,20.24,0,0
20.24.7,Ranjitha Kumar,Scott Klemmer,20.24,8,8
20.24.7.1,Biplab Deka,Ranjitha Kumar,20.24.7,0,0
20.24.7.2,Kristen Vaccaro,Ranjitha Kumar,20.24.7,0,0
20.24.7.3,Jinda Han,Ranjitha Kumar,20.24.7,0,0
20.24.7.4,Deniz Arsan,Ranjitha Kumar,20.24.7,0,0
20.24.7.5,Muhammad Rizky Wellyanto,Ranjitha Kumar,20.24.7,0,0
20.24.7.6,Ali Zaidi,Ranjitha Kumar,20.24.7,0,0
20.24.7.7,Hajara-Yasmin Isa,Ranjitha Kumar,20.24.7,0,0
20.24.7.8,Carl Guo,Ranjitha Kumar,20.24.7,0,0
20.24.8,Jesse Cirimele,Scott Klemmer,20.24,0,0
20.24.9,Chinmay Kulkarni,Scott Klemmer,20.24,0,0
20.24.10,Vineet Pandey,Scott Klemmer,20.24,0,0
20.24.11,Ailie Fraser,Scott Klemmer,20.24,0,0
20.24.12,Tricia Ngoon,Scott Klemmer,20.24,0,0
20.24.13,Ariel Weingarten,Scott Klemmer,20.24,0,0
20.25,Hesham M. Kamel,James Landay,20,0,0
20.26,Anoop Sinha,James Landay,20,0,0
20.27,Allan Chris Long,James Landay,20,0,0
21,Francesmary Modugno,Brad Myers,0,7,7
21.1,Jennifer Simpson,Francesmary Modugno,21,0,0
21.2,Gretchen Gierach,Francesmary Modugno,21,0,0
21.3,Alana Hudson,Francesmary Modugno,21,0,0
21.4,Claudia Leiras,Francesmary Modugno,21,0,0
21.5,Katherine Reeves,Francesmary Modugno,21,0,0
21.6,Jessica Albano,Francesmary Modugno,21,0,0
21.7,Zhuxuan Fu,Francesmary Modugno,21,0,0
