id,name,parent,parent_id
16.20.6,Tongyu Zhou,Jeff Huang,16.20
16.20.7,Zainab Iftikhar,Jeff Huang,16.20
16.20.8,Ji Won Chung,Jeff Huang,16.20
16.21,Shaun K. Kane,Jacob O. Wobbrock,16
16.21.1,Michele A. Williams,Shaun K. Kane,16.21
16.21.2,Halley Profita,Shaun K. Kane,16.21
16.21.3,Darren Guinness,Shaun K. Kane,16.21
16.21.4,Varsha Koushik,Shaun K. Kane,16.21
16.21.5,Annika Muehlbradt,Shaun K. Kane,16.21
16.21.6,Kyle Reinholt,Shaun K. Kane,16.21
16.21.7,Abigail Zimmermann-Niefield,Shaun K. Kane,16.21
16.21.8,Gabriella Johnson,Shaun K. Kane,16.21
16.21.9,Vinitha Gadiraju,Shaun K. Kane,16.21
16.22,Susumu Harada,Jacob O. Wobbrock,16
16.23,Krzysztof Z. Gajos,Jacob O. Wobbrock,16
16.23.1,Juho Kim,Krzysztof Z. Gajos,16.23
16.23.2,Ofra Amir,Krzysztof Z. Gajos,16.23
16.23.3,Kanya (Pao) Siangliulue,Krzysztof Z. Gajos,16.23
16.23.4,Bernd Huber,Krzysztof Z. Gajos,16.23
16.23.5,Kenneth Arnold,Krzysztof Z. Gajos,16.23
16.23.6,Alexandra Cabral,Krzysztof Z. Gajos,16.23
16.23.7,Zana Bucinca,Krzysztof Z. Gajos,16.23
16.23.8,Zilin Ma,Krzysztof Z. Gajos,16.23
16.23.9,Lance Ying,Krzysztof Z. Gajos,16.23
16.23.10,Ritesh Kanchi,Krzysztof Z. Gajos,16.23
16.23.11,,Krzysztof Z. Gajos,16.23
17,Rob Miller,Brad Myers,0
17.1,Simson Garfinkel,Rob Miller,17
17.2,Min Wu,Rob Miller,17
17.3,David Huynh,Rob Miller,17
17.4,Vineet Sinha,Rob Miller,17
17.5,Greg Little,Rob Miller,17
17.6,Michael Bernstein,Rob Miller,17
17.6.1,Chinmay Kulkarni,Michael Bernstein,17.6
17.6.1.1,Yasmine Kotturi,Chinmay Kulkarni,17.6.1
17.6.1.2,Julia Cambre,Chinmay Kulkarni,17.6.1
17.6.1.3,Sara Kingsley,Chinmay Kulkarni,17.6.1
17.6.1.4,Pranav Khadpe,Chinmay Kulkarni,17.6.1
17.6.2,Joy Kim,Michael Bernstein,17.6
17.6.3,Daniela Retelny,Michael Bernstein,17.6
